,base,clouds,cod,coord,dt,id,main,message,name,rain,snow,sys,visibility,weather,wind
0,stations,{'all': 75},200,"{'lon': -41.05, 'lat': -21.64}",1554055200.0,3448903.0,"{'temp': 301.15, 'pressure': 1013, 'humidity': 58, 'temp_min': 301.15, 'temp_max': 301.15}",,Sao Joao da Barra,,,"{'type': 1, 'id': 8337, 'message': 0.0036, 'country': 'BR', 'sunrise': 1554022273, 'sunset': 1554065122}",10000.0,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]","{'speed': 6.2, 'deg': 160}"
1,stations,{'all': 56},200,"{'lon': -134.97, 'lat': -23.12}",1554058321.0,4030556.0,"{'temp': 297.963, 'pressure': 1014.25, 'humidity': 100, 'temp_min': 297.963, 'temp_max': 297.963, 'sea_level': 1014.25, 'grnd_level': 1014.1}",,Rikitea,,,"{'message': 0.0047, 'country': 'PF', 'sunrise': 1554044847, 'sunset': 1554087621}",,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]","{'speed': 8.71, 'deg': 132.502}"
2,stations,{'all': 40},200,"{'lon': 147.06, 'lat': -42.78}",1554058155.0,2155415.0,"{'temp': 280.31, 'pressure': 1020, 'humidity': 70, 'temp_min': 279.26, 'temp_max': 281.15}",,New Norfolk,,,"{'type': 1, 'id': 9545, 'message': 0.0039, 'country': 'AU', 'sunrise': 1554064022, 'sunset': 1554105863}",10000.0,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]","{'speed': 2.1, 'deg': 60}"
3,stations,{'all': 8},200,"{'lon': 166.44, 'lat': 68.06}",1554058321.0,2126682.0,"{'temp': 249.713, 'pressure': 1030.33, 'humidity': 34, 'temp_min': 249.713, 'temp_max': 249.713, 'sea_level': 1030.33, 'grnd_level': 973.22}",,Bilibino,,,"{'message': 0.0034, 'country': 'RU', 'sunrise': 1554055592, 'sunset': 1554104992}",,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '02n'}]","{'speed': 1.01, 'deg': 70.502}"
4,stations,{'all': 90},200,"{'lon': -20.27, 'lat': 63.44}",1554055200.0,3412093.0,"{'temp': 276.15, 'pressure': 1003, 'humidity': 93, 'temp_min': 276.15, 'temp_max': 276.15}",,Vestmannaeyjar,,,"{'type': 1, 'id': 93, 'message': 0.0045, 'country': 'IS', 'sunrise': 1554014696, 'sunset': 1554062727}",10000.0,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]","{'speed': 7.7, 'deg': 270}"
5,stations,{'all': 0},200,"{'lon': 135.46, 'lat': 48.46}",1554055200.0,2021954.0,"{'temp': 264.15, 'pressure': 1014, 'humidity': 72, 'temp_min': 264.15, 'temp_max': 264.15}",,Knyaze-Volkonskoye,,,"{'type': 1, 'id': 8867, 'message': 0.0034, 'country': 'RU', 'sunrise': 1554064658, 'sunset': 1554110793}",10000.0,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]","{'speed': 3, 'deg': 20}"
6,stations,{'all': 8},200,"{'lon': 22.13, 'lat': -30.97}",1554058322.0,1014034.0,"{'temp': 294.963, 'pressure': 1011.69, 'humidity': 33, 'temp_min': 294.963, 'temp_max': 294.963, 'sea_level': 1011.69, 'grnd_level': 863.62}",,Carnarvon,,,"{'message': 0.0037, 'country': 'ZA', 'sunrise': 1554007285, 'sunset': 1554049790}",,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '02n'}]","{'speed': 6.71, 'deg': 265.002}"
7,stations,{'all': 0},200,"{'lon': -50.2, 'lat': -19.73}",1554058025.0,3460513.0,"{'temp': 303.863, 'pressure': 1011.41, 'humidity': 66, 'temp_min': 303.863, 'temp_max': 303.863, 'sea_level': 1011.41, 'grnd_level': 964.66}",,Iturama,,,"{'message': 0.004, 'country': 'BR', 'sunrise': 1554024434, 'sunset': 1554067352}",,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]","{'speed': 1.86, 'deg': 108.502}"
8,stations,{'all': 12},200,"{'lon': 19.24, 'lat': -34.42}",1554057954.0,3366880.0,"{'temp': 288.21, 'pressure': 1013, 'humidity': 96, 'temp_min': 287.59, 'temp_max': 288.71}",,Hermanus,{'3h': 0.0175},,"{'type': 3, 'id': 2006131, 'message': 0.004, 'country': 'ZA', 'sunrise': 1554008052, 'sunset': 1554050410}",,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]","{'speed': 0.89, 'deg': 349, 'gust': 5.36}"
9,stations,{'all': 75},200,"{'lon': -114.38, 'lat': 62.45}",1554057737.0,6185377.0,"{'temp': 275.12, 'pressure': 1019, 'humidity': 59, 'temp_min': 274.82, 'temp_max': 275.37}",,Yellowknife,,,"{'type': 1, 'id': 1007, 'message': 0.0041, 'country': 'CA', 'sunrise': 1554037328, 'sunset': 1554085258}",24140.0,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]","{'speed': 7.2, 'deg': 310, 'gust': 11.3}"
